year,city,country,avg_temp
1743,Stockholm,Sweden,6.02
1744,Stockholm,Sweden,7.67
1745,Stockholm,Sweden,-2.33
1746,Stockholm,Sweden,
1747,Stockholm,Sweden,
1748,Stockholm,Sweden,
1749,Stockholm,Sweden,
1750,Stockholm,Sweden,7.35
1751,Stockholm,Sweden,6.46
1752,Stockholm,Sweden,3.08
1753,Stockholm,Sweden,6.18
1754,Stockholm,Sweden,6.16
1755,Stockholm,Sweden,5.82
1756,Stockholm,Sweden,6.30
1757,Stockholm,Sweden,6.51
1758,Stockholm,Sweden,5.21
1759,Stockholm,Sweden,6.58
1760,Stockholm,Sweden,5.62
1761,Stockholm,Sweden,6.88
1762,Stockholm,Sweden,6.23
1763,Stockholm,Sweden,5.61
1764,Stockholm,Sweden,6.64
1765,Stockholm,Sweden,6.17
1766,Stockholm,Sweden,6.88
1767,Stockholm,Sweden,5.69
1768,Stockholm,Sweden,5.61
1769,Stockholm,Sweden,5.93
1770,Stockholm,Sweden,6.10
1771,Stockholm,Sweden,5.17
1772,Stockholm,Sweden,5.86
1773,Stockholm,Sweden,7.51
1774,Stockholm,Sweden,5.65
1775,Stockholm,Sweden,7.86
1776,Stockholm,Sweden,6.63
1777,Stockholm,Sweden,5.83
1778,Stockholm,Sweden,6.29
1779,Stockholm,Sweden,8.06
1780,Stockholm,Sweden,6.13
1781,Stockholm,Sweden,6.96
1782,Stockholm,Sweden,5.38
1783,Stockholm,Sweden,6.97
1784,Stockholm,Sweden,4.94
1785,Stockholm,Sweden,4.92
1786,Stockholm,Sweden,4.97
1787,Stockholm,Sweden,6.25
1788,Stockholm,Sweden,5.28
1789,Stockholm,Sweden,6.99
1790,Stockholm,Sweden,6.65
1791,Stockholm,Sweden,7.44
1792,Stockholm,Sweden,6.38
1793,Stockholm,Sweden,6.77
1794,Stockholm,Sweden,7.83
1795,Stockholm,Sweden,5.56
1796,Stockholm,Sweden,6.78
1797,Stockholm,Sweden,7.67
1798,Stockholm,Sweden,7.37
1799,Stockholm,Sweden,4.73
1800,Stockholm,Sweden,5.74
1801,Stockholm,Sweden,6.80
1802,Stockholm,Sweden,6.29
1803,Stockholm,Sweden,5.39
1804,Stockholm,Sweden,5.65
1805,Stockholm,Sweden,5.00
1806,Stockholm,Sweden,6.17
1807,Stockholm,Sweden,6.21
1808,Stockholm,Sweden,5.87
1809,Stockholm,Sweden,5.25
1810,Stockholm,Sweden,5.49
1811,Stockholm,Sweden,7.06
1812,Stockholm,Sweden,4.70
1813,Stockholm,Sweden,6.39
1814,Stockholm,Sweden,5.03
1815,Stockholm,Sweden,6.08
1816,Stockholm,Sweden,5.38
1817,Stockholm,Sweden,6.20
1818,Stockholm,Sweden,6.83
1819,Stockholm,Sweden,7.15
1820,Stockholm,Sweden,5.68
1821,Stockholm,Sweden,6.46
1822,Stockholm,Sweden,8.21
1823,Stockholm,Sweden,6.41
1824,Stockholm,Sweden,7.44
1825,Stockholm,Sweden,6.90
1826,Stockholm,Sweden,7.60
1827,Stockholm,Sweden,6.59
1828,Stockholm,Sweden,6.04
1829,Stockholm,Sweden,4.14
1830,Stockholm,Sweden,5.71
1831,Stockholm,Sweden,6.26
1832,Stockholm,Sweden,6.10
1833,Stockholm,Sweden,6.54
1834,Stockholm,Sweden,7.37
1835,Stockholm,Sweden,6.22
1836,Stockholm,Sweden,5.96
1837,Stockholm,Sweden,5.70
1838,Stockholm,Sweden,4.54
1839,Stockholm,Sweden,5.74
1840,Stockholm,Sweden,5.42
1841,Stockholm,Sweden,6.21
1842,Stockholm,Sweden,6.66
1843,Stockholm,Sweden,6.60
1844,Stockholm,Sweden,4.83
1845,Stockholm,Sweden,5.55
1846,Stockholm,Sweden,7.05
1847,Stockholm,Sweden,6.03
1848,Stockholm,Sweden,6.28
1849,Stockholm,Sweden,5.56
1850,Stockholm,Sweden,5.78
1851,Stockholm,Sweden,6.39
1852,Stockholm,Sweden,6.25
1853,Stockholm,Sweden,5.82
1854,Stockholm,Sweden,6.60
1855,Stockholm,Sweden,5.09
1856,Stockholm,Sweden,5.03
1857,Stockholm,Sweden,6.76
1858,Stockholm,Sweden,6.91
1859,Stockholm,Sweden,7.34
1860,Stockholm,Sweden,5.63
1861,Stockholm,Sweden,6.25
1862,Stockholm,Sweden,5.18
1863,Stockholm,Sweden,7.47
1864,Stockholm,Sweden,5.41
1865,Stockholm,Sweden,6.05
1866,Stockholm,Sweden,6.30
1867,Stockholm,Sweden,4.15
1868,Stockholm,Sweden,7.04
1869,Stockholm,Sweden,6.34
1870,Stockholm,Sweden,5.53
1871,Stockholm,Sweden,4.46
1872,Stockholm,Sweden,7.38
1873,Stockholm,Sweden,6.89
1874,Stockholm,Sweden,6.57
1875,Stockholm,Sweden,4.82
1876,Stockholm,Sweden,5.37
1877,Stockholm,Sweden,5.14
1878,Stockholm,Sweden,6.88
1879,Stockholm,Sweden,5.39
1880,Stockholm,Sweden,6.20
1881,Stockholm,Sweden,4.56
1882,Stockholm,Sweden,7.10
1883,Stockholm,Sweden,6.36
1884,Stockholm,Sweden,6.55
1885,Stockholm,Sweden,5.90
1886,Stockholm,Sweden,6.45
1887,Stockholm,Sweden,6.49
1888,Stockholm,Sweden,4.50
1889,Stockholm,Sweden,6.15
1890,Stockholm,Sweden,6.77
1891,Stockholm,Sweden,6.56
1892,Stockholm,Sweden,5.58
1893,Stockholm,Sweden,5.32
1894,Stockholm,Sweden,7.19
1895,Stockholm,Sweden,5.99
1896,Stockholm,Sweden,6.98
1897,Stockholm,Sweden,6.51
1898,Stockholm,Sweden,6.71
1899,Stockholm,Sweden,6.05
1900,Stockholm,Sweden,5.99
1901,Stockholm,Sweden,6.80
1902,Stockholm,Sweden,4.75
1903,Stockholm,Sweden,6.72
1904,Stockholm,Sweden,6.01
1905,Stockholm,Sweden,6.59
1906,Stockholm,Sweden,7.03
1907,Stockholm,Sweden,5.83
1908,Stockholm,Sweden,6.19
1909,Stockholm,Sweden,5.69
1910,Stockholm,Sweden,7.27
1911,Stockholm,Sweden,7.22
1912,Stockholm,Sweden,6.18
1913,Stockholm,Sweden,7.28
1914,Stockholm,Sweden,7.68
1915,Stockholm,Sweden,5.11
1916,Stockholm,Sweden,6.11
1917,Stockholm,Sweden,5.77
1918,Stockholm,Sweden,6.49
1919,Stockholm,Sweden,5.83
1920,Stockholm,Sweden,7.17
1921,Stockholm,Sweden,7.19
1922,Stockholm,Sweden,5.67
1923,Stockholm,Sweden,5.75
1924,Stockholm,Sweden,6.22
1925,Stockholm,Sweden,6.97
1926,Stockholm,Sweden,6.28
1927,Stockholm,Sweden,6.31
1928,Stockholm,Sweden,5.97
1929,Stockholm,Sweden,5.92
1930,Stockholm,Sweden,7.86
1931,Stockholm,Sweden,5.60
1932,Stockholm,Sweden,6.98
1933,Stockholm,Sweden,6.61
1934,Stockholm,Sweden,8.39
1935,Stockholm,Sweden,7.09
1936,Stockholm,Sweden,7.25
1937,Stockholm,Sweden,7.38
1938,Stockholm,Sweden,8.05
1939,Stockholm,Sweden,7.36
1940,Stockholm,Sweden,4.95
1941,Stockholm,Sweden,4.83
1942,Stockholm,Sweden,4.35
1943,Stockholm,Sweden,7.72
1944,Stockholm,Sweden,7.25
1945,Stockholm,Sweden,7.06
1946,Stockholm,Sweden,6.65
1947,Stockholm,Sweden,6.10
1948,Stockholm,Sweden,7.02
1949,Stockholm,Sweden,8.10
1950,Stockholm,Sweden,7.10
1951,Stockholm,Sweden,6.99
1952,Stockholm,Sweden,5.96
1953,Stockholm,Sweden,7.68
1954,Stockholm,Sweden,6.40
1955,Stockholm,Sweden,6.24
1956,Stockholm,Sweden,5.25
1957,Stockholm,Sweden,6.68
1958,Stockholm,Sweden,5.98
1959,Stockholm,Sweden,7.69
1960,Stockholm,Sweden,6.59
1961,Stockholm,Sweden,7.74
1962,Stockholm,Sweden,5.83
1963,Stockholm,Sweden,5.85
1964,Stockholm,Sweden,6.60
1965,Stockholm,Sweden,5.84
1966,Stockholm,Sweden,5.61
1967,Stockholm,Sweden,7.03
1968,Stockholm,Sweden,6.59
1969,Stockholm,Sweden,6.06
1970,Stockholm,Sweden,5.38
